cellsR,Acta2,Adamtsl2,Adgre1,Adgrg6,Atp6v0d2,Axl,C5ar1,Ccr2,Ccr7,Cd14,Cd19,Cd207,Cd209a,Cd36,Cd3e,Cd5l,Cd79a,Cd9,Chil3,Clec10a,Clec4f,Clec9a,Clic5,Col1a1,Colec11,Cox6a2,Cx3cr1,Cxcl12,Cyp2e1,Dcn,Des,Dpt,Epcam,F13a1,Fcgr1,Flt3,Flt4,Fn1,Folr2,Gdf15,Ghr,Gja5,Gls2,Glul,Gpnmb,Grip1,Hal,Hgf,Igfbp3,Itgae,Itgax,Itgb7,Krt19,Lgr5,Lhx6,Lilra5,Lpl,Lyve1,Mafb,Marco,Mfap4,Mgl2,Mmp12,Mmrn1,Ms4a7,Msln,Myh11,Ncam1,Ngfr,Nrxn1,Olfml3,Pck1,Pdgfra,Pdgfrb,Pecam1,Plpp1,Prox1,Reln,Rspo3,Sds,Sept3,Siglech,Sirpa,Slc40a1,Sox9,Spn,Spon2,Spp1,Stab2,Svep1,Timd4,Tmem119,Trem2,Upk3b,Vsig4,Vwf,Wnt2,Wnt9b,Wt1,Xcr1,X,Y
4001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,0,0,0,0,0,0,0,0,33,0,0,12,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,58,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5262.554896142433,5433.79821958457
4002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,3,0,0,1,7,0,0,1,143,6,2,1,0,1,0,0,1,63,0,2,19,0,8,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,200,0,0,0,2,13,0,0,19,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5560.994328922496,5409.909262759925
4003,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,3,0,0,3,322,0,1,0,0,0,0,0,3,189,0,6,75,0,16,4,0,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,316,0,0,2,2,21,0,0,10,0,0,1,4,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,8035.3442940038685,5431.192456479691
4004,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,2,0,0,3,0,0,0,1,0,0,4,0,3,1,0,0,0,0,0,1,145,0,0,34,0,18,3,0,0,30,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,7,0,0,173,0,0,0,0,4,2,0,15,0,0,1,8,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,10352.07966457023,5414.404612159329
4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,160,0,0,28,0,9,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,301,0,0,0,0,10,0,0,27,0,0,1,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1051.5093696763204,5451.27597955707
4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077.9,5630.7
4007,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,7,0,0,3,232,3,2,0,0,0,1,0,1,110,0,1,22,0,6,3,0,0,11,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,2,0,217,0,0,1,0,14,5,0,3,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,4507.356828193832,5421.333333333333
4008,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,194,1,0,0,0,0,0,0,12,75,0,1,32,0,9,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,133,0,0,9,6,1,2,0,6,0,0,2,2,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,6094.424187725632,5430.22202166065
4009,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,3,0,1,0,0,7,1,0,0,4,0,0,3,134,1,0,0,0,0,0,0,0,159,0,5,51,0,20,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,13,0,0,254,0,0,4,2,14,0,0,14,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7379.383892617449,5469.2134228187915
4010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,2,0,0,1,728,26,0,0,0,0,0,0,1,24,0,1,22,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,43,0,0,4,2,4,3,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,6718.655069582505,5457.079522862823
4011,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,154,0,5,27,0,20,2,0,0,49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,402,0,0,0,0,6,0,0,33,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.2603305785124,5430.064738292011
4012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,7,0,0,0,109,6,0,0,0,0,0,0,7,87,0,5,26,0,14,2,0,0,16,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,13,0,0,88,0,0,14,3,4,1,0,7,0,0,1,2,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,7298.7146017699115,5445.409292035398
4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,394,0,0,0,0,0,0,0,0,121,0,3,45,0,12,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10,1,0,119,0,0,2,0,10,0,0,9,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7673.433766233767,5440.036363636364
4014,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,9,4,0,0,0,0,3,0,0,1,168,0,3,51,1,21,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,11,0,0,290,0,0,0,0,9,0,0,24,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9429.505952380952,5423.806547619048
4015,0,0,0,0,1,4,0,0,0,0,0,4,0,12,0,4,0,0,0,0,5,0,0,0,5,0,0,0,14,3,0,0,0,0,0,0,14,102,0,2,24,0,18,3,0,0,22,2,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,101,0,0,7,5,4,1,0,22,0,0,2,4,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,528.6363636363636,5419.521531100479
4016,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,30,0,0,1,133,59,1,0,0,0,0,0,4,20,0,0,19,0,1,3,0,0,3,11,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,7,3,0,27,0,0,1,0,0,10,4,1,0,0,0,1,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,6207.881542699724,5443.900826446281
